year;month;3_months;6_months
2023;11;0.005;0.005
2023;10;0.005;0.005
2023;9;0.005;0.005
2023;8;0.005;0.005
2023;7;0.005;0.005
2023;6;0.005;0.005
2023;5;0.005;0.005
2023;4;0.005;0.005
2023;3;0.005;0.005
2023;2;0.005;0.005
2023;1;0.005;0.005
2022;12;0.005;0.005
2022;11;0.005;0.005
2022;10;0.005;0.005
2022;9;0.005;0.005
2022;8;0.005;0.005
2022;7;0.005;0.005
2022;6;0.005;0.005
2022;5;0.0001;0.0001
2022;4;0.0001;0.0001
2022;3;0.0001;0.0001
2022;2;0.0001;0.0001
2022;1;0.0001;0.0001
2021;12;0.0001;0.0001
2021;11;0.0001;0.0001
2021;10;0.0001;0.0001
2021;9;0.0001;0.0001
2021;8;0.0001;0.0001
2021;7;0.0001;0.0001
2021;6;0.0001;0.0001
2021;5;0.0001;0.0001
2021;4;0.0001;0.0001
2021;3;0.0001;0.0001
2021;2;0.0001;0.0001
2021;1;0.0001;0.0001
2020;12;0.0001;0.0001
2020;11;0.0001;0.0001
2020;10;0.0001;0.0001
2020;9;0.0001;0.0001
2020;8;0.0001;0.0001
2020;7;0.0001;0.0001
2020;6;0.001;0.001
2020;5;0.001;0.001
2020;4;0.003;0.003
2020;3;0.005;0.005
2020;2;0.005;0.005
2020;1;0.005;0.005
2019;12;0.005;0.005
2019;11;0.005;0.005
2019;10;0.005;0.005
2019;9;0.005;0.005
2019;8;0.005;0.005
2019;7;0.005;0.005
2019;6;0.005;0.005
2019;5;0.005;0.005
2019;4;0.005;0.005
2019;3;0.005;0.005
2019;2;0.005;0.005
2019;1;0.005;0.005
2018;12;0.005;0.005
2018;11;0.005;0.005
2018;10;0.005;0.005
2018;9;0.005;0.005
2018;8;0.005;0.005
2018;7;0.005;0.005
2018;6;0.005;0.005
2018;5;0.005;0.005
2018;4;0.005;0.005
2018;3;0.005;0.005
2018;2;0.005;0.005
2018;1;0.005;0.005
2017;12;0.005;0.005
2017;11;0.005;0.005
2017;10;0.005;0.005
2017;9;0.005;0.005
2017;8;0.005;0.005
2017;7;0.005;0.005
2017;6;0.005;0.005
2017;5;0.005;0.005
2017;4;0.005;0.005
2017;3;0.005;0.005
2017;2;0.005;0.005
2017;1;0.005;0.005
2016;12;0.007;0.007
2016;11;0.007;0.007
2016;10;0.007;0.007
2016;9;0.01;0.01
2016;8;0.01;0.01
2016;7;0.01;0.01
2016;6;0.01;0.01
2016;5;0.01;0.01
2016;4;0.01;0.01
2016;3;0.01;0.01
2016;2;0.01;0.01
2016;1;0.01;0.01
2015;12;0.01;0.01
2015;11;0.01;0.01
2015;10;0.01;0.01
2015;9;0.01;0.01
2015;8;0.01;0.01
2015;7;0.01;0.01
2015;6;0.01;0.01
2015;5;0.01;0.01
2015;4;0.01;0.01
2015;3;0.01;0.01
2015;2;0.014;0.014
2015;1;0.014;0.014
2014;12;0.015;0.015
2014;11;0.015;0.015
2014;10;0.016;0.016
2014;9;0.02;0.02
2014;8;0.02;0.02
2014;7;0.02;0.02
2014;6;0.02;0.02
2014;5;0.02;0.02
2014;4;0.02;0.02
2014;3;0.02;0.02
2014;2;0.02;0.02
2014;1;0.02;0.02
2013;12;0.02;0.02
2013;11;0.02;0.02
2013;10;0.02;0.02
2013;9;0.02;0.02
2013;8;0.02;0.02
2013;7;0.024;0.024
2013;6;0.0245;0.025
2013;5;0.0245;0.025
2013;4;0.028;0.027
2013;3;0.03;0.0265
2013;2;0.032;0.035
2013;1;0.033;0.036
2012;12;0.038;0.04
2012;11;0.038;0.04
2012;10;0.038;0.04
2012;9;0.038;0.04
2012;8;0.038;0.04
2012;7;0.038;0.04
2012;6;0.038;0.04
2012;5;0.038;0.04
2012;4;0.038;0.04
2012;3;0.038;0.04
2012;2;0.038;0.04
2012;1;0.038;0.04
