Bank,Link,Typ ,Uwagi
Powszechna Kasa Oszczędności Bank Polski SA,https://www.pkobp.pl/oplaty-i-oprocentowanie/oprocentowanie#bd-col-87b11bfaa1ec-doc-27756,Osoby fizyczne,
Powszechna Kasa Oszczędności Bank Polski SA,https://www.pkobp.pl/oplaty-i-oprocentowanie/oprocentowanie#bd-col-ffc274a20868-doc-27825,Klienci korporacyjni,
Bank Handlowy w Warszawie SA,https://www.citibank.pl/dokumenty/,,[zakładki: klienci indywidualni > konta > tabela oprocentowania | klienci firmowi > konta > tabela oprocentowania ]
ING Bank Śląski SA,https://www.ing.pl/indywidualni/tabele-i-regulaminy/oprocentowanie/rachunki-oszczednosciowe-lokaty,Osoby fizyczne,
ING Bank Śląski SA,https://www.ing.pl/indywidualni/tabele-i-regulaminy/regulaminy/lokaty,Osoby fizyczne,
ING Bank Śląski SA,https://www.ing.pl/indywidualni/tabele-i-regulaminy/regulaminy/konta-oszczednosciowe,Osoby fizyczne,
ING Bank Śląski SA,https://www.ing.pl/male-firmy/tabele-i-regulaminy/oprocentowanie-mf#oprocentowanie=2,Klienci korporacyjni,
ING Bank Śląski SA,https://www.ing.pl/dokumenty-fis-i-korporacji/oprocentowanie,Klienci korporacyjni,
Santander Bank Polska SA,https://www.santander.pl/przydatne-informacje/oprocentowanie#informacje,Osoby fizyczne,
Santander Bank Polska SA,https://www.santander.pl/przydatne-informacje/oprocentowanie-firmy,Klienci korporacyjni,
mBank S.A.,https://www.mbank.pl/pomoc/oprocentowanie/oferta-indywidualna/,Osoby fizyczne,
mBank S.A.,https://www.mbank.pl/pomoc/oprocentowanie/private-banking/stawki-nowe-kredyty/,Osoby fizyczne,
mBank S.A.,https://www.mbank.pl/pomoc/oprocentowanie/firmy/,Klienci korporacyjni,
mBank S.A.,https://www.mbank.pl/pomoc/oprocentowanie/msp-korporacje/,Klienci korporacyjni,
Bank Millennium SA,https://www.bankmillennium.pl/klienci-indywidualni/wsparcie/cenniki-i-regulaminy,Osoby fizyczne,"[uwaga - w tym przypadku nie tabela oprocentowania, ale ""cennik usług - stopy procentowe""]"
Bank Millennium SA,https://www.bankmillennium.pl/biznes/produkty/inwestowanie-kapitalu/lokata-biznes#dokumenty-do-pobrania,Klienci korporacyjni,
Bank Pekao SA ,https://www.pekao.com.pl/o-banku/stopka/cennik-i-regulamin.html#,,[osobne regulaminy dla poszczególnych segmentów]
Bank Pocztowy SA,https://www.pocztowy.pl/indywidualni/oprocentowanie,Osoby fizyczne,
Bank Pocztowy SA,https://www.pocztowy.pl/male-firmy/oprocentowanie,Klienci korporacyjni,
Bank Pocztowy SA,https://www.pocztowy.pl/instytucje/oprocentowanie,Klienci korporacyjni,
Bank Ochrony Środowiska SA,https://www.bosbank.pl/wazne-informacje/tabele-oplaty,,"[osobne regulaminy dla poszczególnych segmentów w zakładce ""oprocentowanie""]"
Plus Bank SA,https://plusbank.pl/oferta-dla-ciebie/konto-osobiste/konto-plus,Osoby fizyczne,[zakładka tabela oprocentowania]
Plus Bank SA,https://plusbank.pl/oferta-dla-firmy/rachunki/rachunek-biznes,Klienci korporacyjni,[zakładka tabela oprocentowania]
Nest Bank SA,https://nestbank.pl/centrum-informacji/regulaminy-i-cenniki-oszczednosci-osobiste/,Osoby fizyczne,
Nest Bank SA,https://nestbank.pl/centrum-informacji/regulaminy-i-cenniki-oszczednosci-firmowe/,Klienci korporacyjni,
Credit Agricole Bank Polska SA,https://www.credit-agricole.pl/oprocentowanie,Osoby fizyczne,
Credit Agricole Bank Polska SA,https://www.credit-agricole.pl/dokumenty/konta/tabela-oprocentowania,Osoby fizyczne,
Credit Agricole Bank Polska SA,https://www.credit-agricole.pl/dokumenty/msp/tabela-oprocentowania,Klienci korporacyjni,
Credit Agricole Bank Polska SA,https://www.credit-agricole.pl/rolnictwo/oszczednosci/lokaty-terminowe,Klienci korporacyjni,
BNP Paribas Bank Polska SA,https://www.bnpparibas.pl/repozytorium/oplaty-i-oprocentowanie/produkty-banku-bnp-paribas-sa,,[osobne tabele oprocentowania dla poszczególnych segmentów]
Santander Consumer Bank SA,"https://www.santanderconsumer.pl/oszczednosci/rachunek-oszczednosciowy,1.html",,
Santander Consumer Bank SA,"https://www.santanderconsumer.pl/oszczednosci/lokaty-przez-internet,2.html",,
Toyota Bank Polska SA,https://www.toyotabank.pl/obsluga-klienta/dokumenty,,[osobne tabele oprocentowania dla poszczególnych segmentów]
Alior Bank SA,https://www.aliorbank.pl/dodatkowe-informacje/przydatne-dokumenty/klienci-indywidualni.html,Osoby fizyczne,
Alior Bank SA,https://www.aliorbank.pl/dodatkowe-informacje/przydatne-dokumenty/wlasna-dzialanosc.html,Klienci korporacyjni,
Bank Nowy SA,https://online.banknowy.pl/portal_online/dokumenty,,
VeloBank Spółka Akcyjna,https://www.velobank.pl/klienci-indywidualni/centrum-dokumentow,Osoby fizyczne,[osobne tabele oprocentowania dla Kont osobistych i oszczędnościowych oraz dla Lokat terminowych]
VeloBank Spółka Akcyjna,https://www.velobank.pl/firmy/centrum-dokumentow,Klienci korporacyjni,
